rank,team,points,date
1,Argentina,1886.0,2026-04-03
2,France,1859.0,2026-04-03
3,Spain,1854.0,2026-04-03
4,England,1820.0,2026-04-03
5,Brazil,1776.0,2026-04-03
6,Portugal,1772.0,2026-04-03
7,Netherlands,1754.0,2026-04-03
8,Belgium,1736.0,2026-04-03
9,Germany,1717.0,2026-04-03
10,Croatia,1707.0,2026-04-03
11,Italy,1702.0,2026-04-03
12,Morocco,1694.0,2026-04-03
13,Colombia,1688.0,2026-04-03
14,Uruguay,1680.0,2026-04-03
15,United States,1665.0,2026-04-03
16,Switzerland,1648.0,2026-04-03
17,Senegal,1645.0,2026-04-03
18,Japan,1638.0,2026-04-03
19,Denmark,1628.0,2026-04-03
20,Mexico,1622.0,2026-04-03
21,Iran,1618.0,2026-04-03
22,South Korea,1602.0,2026-04-03
23,Australia,1500.0,2026-04-03
24,Ecuador,1495.0,2026-04-03
25,Austria,1492.0,2026-04-03
26,Ukraine,1485.0,2026-04-03
27,Sweden,1480.0,2026-04-03
28,Canada,1475.0,2026-04-03
29,Poland,1470.0,2026-04-03
30,Wales,1465.0,2026-04-03
31,Serbia,1460.0,2026-04-03
32,Egypt,1455.0,2026-04-03
33,Nigeria,1450.0,2026-04-03
34,Ivory Coast,1445.0,2026-04-03
35,Norway,1440.0,2026-04-03
36,Tunisia,1435.0,2026-04-03
37,Cameroon,1430.0,2026-04-03
38,Algeria,1425.0,2026-04-03
39,Peru,1420.0,2026-04-03
40,Chile,1415.0,2026-04-03
41,Ghana,1410.0,2026-04-03
42,Turkey,1405.0,2026-04-03
43,Paraguay,1400.0,2026-04-03
44,Saudi Arabia,1395.0,2026-04-03
45,Costa Rica,1390.0,2026-04-03
46,Qatar,1385.0,2026-04-03
47,Panama,1380.0,2026-04-03
48,Jamaica,1375.0,2026-04-03
